files=97 lines=4275

| feature | count | files | nests | example |
| lpad/rpad( | 0 | 0 | 0:  |  |
| repeat(/reverse( | 0 | 0 | 0:  |  |
| regexp_matches( | 0 | 0 | 0:  |  |
| regexp_extract( | 0 | 0 | 0:  |  |
| regexp_replace( | 0 | 0 | 0:  |  |
| regexp_full_match( | 0 | 0 | 0:  |  |
| ~ regex operator | 0 | 0 | 0:  |  |
| printf/format( | 0 | 0 | 0:  |  |
| hex(/to_hex( | 0 | 0 | 0:  |  |
| unhex(/from_hex( | 4 | 3 | 3: graph-allocations-nest, qos-reo-nest, qos-reo-nest-typed | graph-allocations-nest/views/90-lodestar-indexers.sql:223 |
| encode(/decode( | 4 | 3 | 3: graph-allocations-nest, qos-reo-nest, qos-reo-nest-typed | graph-allocations-nest/views/90-lodestar-indexers.sql:223 |
| hash/md5/sha256( | 0 | 0 | 0:  |  |
| bit_length/octet_length | 0 | 0 | 0:  |  |
| ord(/chr(/ascii(/unicode( | 0 | 0 | 0:  |  |
| string_agg | 0 | 0 | 0:  |  |
| coalesce( | 112 | 20 | 6: arcaidia-nest, graph-allocations-nest, graph-gns-nest, qos-reo-nest, qos-reo-nest-typed, qos-reo-nest-wt-peers | arcaidia-nest/views/10-vault_policy.sql:47 |
| nullif( | 73 | 7 | 3: qos-reo-nest-typed, qos-reo-nest-wt-peers, qos-reo-nest-wt-range | qos-reo-nest-typed/views/10-qos-documents.sql:19 |
| ifnull( | 0 | 0 | 0:  |  |
| if( | 0 | 0 | 0:  |  |
| iif( | 0 | 0 | 0:  |  |
| nvl(/nvl2( | 0 | 0 | 0:  |  |
| typeof( | 0 | 0 | 0:  |  |
| list_*( | 9 | 4 | 1: graph-allocations-nest | graph-allocations-nest/views/85-lodestar-params.sql:21 |
| array_*( | 0 | 0 | 0:  |  |
| struct_*( | 0 | 0 | 0:  |  |
| unnest( | 4 | 3 | 2: qos-reo-nest, qos-reo-nest-typed | qos-reo-nest-typed/views/15-qos-postings.sql:15 |
| map_*(/map( | 0 | 0 | 0:  |  |
| json_*( | 18 | 3 | 3: arcaidia-nest, qos-reo-nest, qos-reo-nest-typed | arcaidia-nest/views/10-vault_policy.sql:12 |
| -> / ->> json ops | 0 | 0 | 0:  |  |
| [i] list index | 0 | 0 | 0:  |  |
| generate_series/range( | 1 | 1 | 1: qos-reo-nest-wt-peers | qos-reo-nest-wt-peers/views/10-qos-documents.sql:14 |
| row(/struct_pack( | 0 | 0 | 0:  |  |
| apply(/filter(/reduce( list fns | 8 | 4 | 1: graph-allocations-nest | graph-allocations-nest/views/85-lodestar-params.sql:21 |
| enum_* | 0 | 0 | 0:  |  |
| read_parquet( | 0 | 0 | 0:  |  |
| union_by_name | 0 | 0 | 0:  |  |
| read_csv/read_json/read_text/glob( | 0 | 0 | 0:  |  |
| duckdb_*()/information_schema | 0 | 0 | 0:  |  |
| gen_random_uuid/uuid( | 0 | 0 | 0:  |  |
| random( | 0 | 0 | 0:  |  |
| current_setting/version( | 0 | 0 | 0:  |  |
| lambda keyword (lambda x, y: ...) | 8 | 4 | 1: graph-allocations-nest | graph-allocations-nest/views/85-lodestar-params.sql:23 |
| list comprehension [.. FOR x IN ..] | 7 | 3 | 1: graph-allocations-nest | graph-allocations-nest/views/85-lodestar-params.sql:21 |
